CategoryName,Source,NumberOfPapers
"""proximal gradient methods""","""OpenAlex""",2
"""social engagement""","""OpenAIRE""",2
"""dialogic""","""OpenAIRE""",2
"""dialogic""","""OpenAlex""",2
"""stability conditions""","""OpenAIRE""",2
"""backlash""","""OpenAlex""",2
"""laparoscopic surgery""","""OpenAlex""",2
"""laparoscopy""","""OpenAlex""",2
"""laparoscopic surgery""","""OpenAIRE""",2
"""prospective cohort study""","""OpenAIRE""",2
"""laparoscopy""","""OpenAIRE""",2
"""semantic computing""","""OpenAIRE""",2
"""semantic grid""","""OpenAIRE""",2
"""semantic data model""","""OpenAlex""",2
"""pongo pygmaeus""","""OpenAIRE""",2
"""dna-binding proteins""","""OpenAIRE""",2
"""elaboration likelihood model""","""OpenAIRE""",2
"""persuasive communication""","""OpenAlex""",2
"""emotive""","""OpenAIRE""",2
"""child rearing""","""OpenAIRE""",2
"""emotive""","""OpenAlex""",2
"""hausman test""","""OpenAIRE""",2
"""swarm robotics""","""OpenAIRE""",2
"""byzantine fault tolerance""","""OpenAIRE""",2
"""renormalization group""","""OpenAIRE""",2
"""monte carlo [numerical calculations]""","""OpenAIRE""",2
"""critical phenomena""","""OpenAIRE""",2
"""bibliography""","""OpenAIRE""",2
"""thesis""","""OpenAIRE""",2
"""self-organized criticality""","""OpenAlex""",2
"""linear predictive coding""","""OpenAlex""",2
"""best linear unbiased prediction""","""OpenAIRE""",2
"""dairy products/milk""","""OpenAIRE""",2
"""genotyping""","""OpenAlex""",2
"""genomic selection""","""OpenAlex""",2
"""outcomes""","""OpenAIRE""",2
"""inferior parietal lobule""","""OpenAlex""",2
"""broca's area""","""OpenAIRE""",2
"""dynamic causal modelling""","""OpenAIRE""",2
"""clinic for psychiatry, psychotherapy, and psychosomatics""","""OpenAIRE""",2
"""activation function""","""OpenAIRE""",2
"""random search""","""OpenAIRE""",2
"""nervous system physiological phenomena""","""OpenAIRE""",2
"""analog computer""","""OpenAlex""",2
"""image interpretation""","""OpenAIRE""",2
"""fingerprint""","""OpenAIRE""",2
"""identity theft""","""OpenAlex""",2
"""blosum""","""OpenAIRE""",2
"""mutation frequency""","""OpenAIRE""",2
"""inverse synthetic aperture radar""","""OpenAIRE""",2
"""intelligent decision support system""","""OpenAlex""",2
"""sexual dimorphism""","""OpenAlex""",2
"""rensch's rule""","""OpenAIRE""",2
"""sexual dimorphism""","""OpenAIRE""",2
"""fecundity selection""","""OpenAIRE""",2
"""liquid crystalline""","""OpenAlex""",2
"""hexagonal crystal system""","""OpenAlex""",2
"""thermotropic crystal""","""OpenAlex""",2
"""image sequence""","""OpenAIRE""",2
"""blob detection""","""OpenAlex""",2
"""redshift""","""OpenAlex""",2
"""panel analysis""","""OpenAlex""",2
"""situation awareness""","""OpenAIRE""",2
"""human multitasking""","""OpenAIRE""",2
"""mobility""","""OpenAIRE""",2
"""scientific evidence""","""OpenAlex""",2
"""consensus criteria""","""OpenAIRE""",2
"""clinical study""","""OpenAIRE""",2
"""image plane""","""OpenAIRE""",2
"""crawling""","""OpenAlex""",2
"""computed tomographic""","""OpenAlex""",2
"""australia""","""OpenAIRE""",2
"""landslide""","""OpenAIRE""",2
"""morphological skeleton""","""OpenAIRE""",2
"""binocular rivalry""","""OpenAIRE""",2
"""ocular dominance""","""OpenAlex""",2
"""binocular rivalry""","""OpenAlex""",2
"""surface wave""","""OpenAlex""",2
"""seismic noise""","""OpenAlex""",2
"""microseism""","""OpenAlex""",2
"""vegetation classification""","""OpenAlex""",2
"""wetland""","""OpenAlex""",2
"""wetland""","""OpenAIRE""",2
"""realisation""","""OpenAIRE""",2
"""realisation""","""OpenAlex""",2
"""patients""","""OpenAIRE""",2
"""electric motors/energy conversion""","""OpenAIRE""",2
"""safe sex""","""OpenAIRE""",2
"""active suspension""","""OpenAIRE""",2
"""exponent""","""OpenAIRE""",2
"""resource dependence theory""","""OpenAIRE""",2
"""lottery""","""OpenAlex""",2
"""revealed preference""","""OpenAlex""",2
"""social neuroscience""","""OpenAlex""",2
"""distributed memory""","""OpenAlex""",2
"""parallel algorithm""","""OpenAIRE""",2
"""traffic analysis""","""OpenAIRE""",2
"""electric power""","""OpenAIRE""",2
"""base load power plant""","""OpenAIRE""",2
"""hyperplane""","""OpenAIRE""",2
"""human error""","""OpenAlex""",2
"""dorsolateral prefrontal cortex""","""OpenAIRE""",2
"""qa""","""OpenAIRE""",2
"""numerical partial differential equations""","""OpenAlex""",2
"""fractional fourier transform""","""OpenAlex""",2
"""indirect effect""","""OpenAIRE""",2
"""parametric surface""","""OpenAlex""",2
"""variable selection""","""OpenAIRE""",2
"""resource use""","""OpenAIRE""",2
"""cold start""","""OpenAIRE""",2
"""structuration theory""","""OpenAlex""",2
"""linear algebra""","""OpenAlex""",2
"""g.1.6""","""OpenAIRE""",2
"""hopfield network""","""OpenAlex""",2
"""reconstruction algorithm""","""OpenAlex""",2
"""carotid arteries""","""OpenAIRE""",2
"""radiology nuclear medicine and imaging""","""OpenAIRE""",2
"""fingers""","""OpenAIRE""",2
"""human microbiome""","""OpenAIRE""",2
"""scoring functions for docking""","""OpenAIRE""",2
"""analytical expressions""","""OpenAIRE""",2
"""stability criteria""","""OpenAIRE""",2
"""radiation""","""OpenAIRE""",2
"""radiation""","""OpenAlex""",2
"""coincidence detection in neurobiology""","""OpenAIRE""",2
"""reliability (semiconductor)""","""OpenAIRE""",2
"""systems science""","""OpenAIRE""",2
"""system of systems""","""OpenAIRE""",2
"""controller design""","""OpenAIRE""",2
"""contourlet""","""OpenAIRE""",2
"""behavioral operations research""","""OpenAIRE""",2
"""lean manufacturing""","""OpenAIRE""",2
"""supply chain risk management""","""OpenAIRE""",2
"""econophysics""","""OpenAIRE""",2
"""linear space""","""OpenAIRE""",2
"""loan""","""OpenAIRE""",2
"""loan""","""OpenAlex""",2
"""ocular physiology""","""OpenAIRE""",2
"""minnesota twin family study""","""OpenAIRE""",2
"""clinical study design""","""OpenAlex""",2
"""immunotherapy""","""OpenAIRE""",2
"""immune escape""","""OpenAlex""",2
"""immunotherapy""","""OpenAlex""",2
"""t-lymphocytes, regulatory""","""OpenAIRE""",2
"""models, immunological""","""OpenAIRE""",2
"""black box (phreaking)""","""OpenAIRE""",2
"""drug labeling""","""OpenAIRE""",2
"""medical prescription""","""OpenAIRE""",2
"""adverse effect""","""OpenAlex""",2
"""medical prescription""","""OpenAlex""",2
"""information security standards""","""OpenAIRE""",2
"""authentication""","""OpenAIRE""",2
"""fuse (electrical)""","""OpenAIRE""",2
"""jel:j13""","""OpenAIRE""",2
"""cholesterol""","""OpenAIRE""",2
"""content-based image retrieval""","""OpenAIRE""",2
"""motion analysis""","""OpenAlex""",2
"""oscillation""","""OpenAIRE""",2
"""geometric primitive""","""OpenAIRE""",2
"""volume ray casting""","""OpenAIRE""",2
"""loop (topology)""","""OpenAIRE""",2
"""extreme project management""","""OpenAIRE""",2
"""project charter""","""OpenAIRE""",2
"""project stakeholder""","""OpenAIRE""",2
"""project charter""","""OpenAlex""",2
"""project management triangle""","""OpenAlex""",2
"""opm3""","""OpenAlex""",2
"""spectral resolution""","""OpenAIRE""",2
"""language and communication technologies""","""OpenAIRE""",2
"""cell death""","""OpenAIRE""",2
"""diffusion of innovations""","""OpenAIRE""",2
"""initial distribution""","""OpenAIRE""",2
"""point estimation""","""OpenAlex""",2
"""i.2.0""","""OpenAIRE""",2
"""nonsynonymous substitution""","""OpenAlex""",2
"""self-reference effect""","""OpenAlex""",2
"""consumer neuroscience""","""OpenAlex""",2
"""self-reference effect""","""OpenAIRE""",2
"""rotational speed""","""OpenAlex""",2
"""hyperspectral imagery""","""OpenAIRE""",2
"""type theory""","""OpenAlex""",2
"""type safety""","""OpenAlex""",2
"""subtyping""","""OpenAlex""",2
"""texture perception""","""OpenAIRE""",2
"""inorganic nanoparticles""","""OpenAIRE""",2
"""nanoparticles""","""OpenAIRE""",2
"""anura""","""OpenAIRE""",2
"""viscosity""","""OpenAlex""",2
"""isotropy""","""OpenAlex""",2
"""gene dosage""","""OpenAIRE""",2
"""legitimation""","""OpenAIRE""",2
"""institution""","""OpenAlex""",2
"""legitimation""","""OpenAlex""",2
"""jigsaw""","""OpenAIRE""",2
"""jigsaw""","""OpenAlex""",2
"""boundary representation""","""OpenAlex""",2
"""price system""","""OpenAIRE""",2
"""arrow""","""OpenAIRE""",2
"""pollution""","""OpenAlex""",2
"""bilevel optimization""","""OpenAlex""",2
"""ecosystem diversity""","""OpenAIRE""",2
"""species diversity""","""OpenAIRE""",2
"""corner detection""","""OpenAlex""",2
"""scopus""","""OpenAlex""",2
"""probabilistic method""","""OpenAIRE""",2
"""maturity (finance)""","""OpenAIRE""",2
"""creative destruction""","""OpenAIRE""",2
"""innovation process""","""OpenAlex""",2
"""logistic model tree""","""OpenAIRE""",2
"""logistic model tree""","""OpenAlex""",2
"""energy policy""","""OpenAIRE""",2
"""technological transitions""","""OpenAIRE""",2
"""closed loop""","""OpenAIRE""",2
"""physics - popular physics""","""OpenAIRE""",2
"""popular physics (physics.pop-ph)""","""OpenAIRE""",2
"""epidemic model""","""OpenAlex""",2
"""clique percolation method""","""OpenAIRE""",2
"""fitness function""","""OpenAlex""",2
"""[sdv.ot]life sciences [q-bio]/other [q-bio.ot]""","""OpenAIRE""",2
"""praxis""","""OpenAIRE""",2
"""praxis""","""OpenAlex""",2
"""exponential growth""","""OpenAlex""",2
"""nucleic acid""","""OpenAIRE""",2
"""conserved sequence""","""OpenAlex""",2
"""limited capacity""","""OpenAIRE""",2
"""gap penalty""","""OpenAIRE""",2
"""principles of learning""","""OpenAIRE""",2
"""image analysis""","""OpenAIRE""",2
"""affirmative action""","""OpenAIRE""",2
"""undersampling""","""OpenAIRE""",2
"""metabolome""","""OpenAIRE""",2
"""canonical form""","""OpenAIRE""",2
"""learning object""","""OpenAlex""",2
"""abundance (ecology)""","""OpenAIRE""",2
"""abundance (ecology)""","""OpenAlex""",2
"""subjective expected utility""","""OpenAIRE""",2
"""statistical parametric mapping""","""OpenAlex""",2
"""demosaicing""","""OpenAlex""",2
"""small molecule libraries""","""OpenAIRE""",2
"""user experience design""","""OpenAIRE""",2
"""global governance""","""OpenAIRE""",2
"""department of business administration""","""OpenAIRE""",2
"""montague grammar""","""OpenAIRE""",2
"""transformational grammar""","""OpenAlex""",2
"""factorization of polynomials""","""OpenAIRE""",2
"""adaptive resonance theory""","""OpenAlex""",2
"""memorization""","""OpenAlex""",2
"""artificial grammar learning""","""OpenAIRE""",2
"""verbal fluency test""","""OpenAIRE""",2
"""iron oxide""","""OpenAIRE""",2
"""superparamagnetism""","""OpenAlex""",2
"""iron oxide""","""OpenAlex""",2
"""iron oxide nanoparticles""","""OpenAlex""",2
"""magnetic nanoparticles""","""OpenAlex""",2
"""autobiographical memory""","""OpenAlex""",2
"""elaboration""","""OpenAlex""",2
"""chronesthesia""","""OpenAIRE""",2
"""autobiographical memory""","""OpenAIRE""",2
"""monte carlo localization""","""OpenAIRE""",2
"""bayesian experimental design""","""OpenAIRE""",2
"""wildlife ecology and conservation""","""OpenAIRE""",2
"""aquatische ecologie en waterkwaliteitsbeheer""","""OpenAIRE""",2
"""warning system""","""OpenAlex""",2
"""aquatic ecology and water quality management""","""OpenAIRE""",2
"""genetic hitchhiking""","""OpenAIRE""",2
"""fixation (population genetics)""","""OpenAIRE""",2
"""citizenship""","""OpenAIRE""",2
"""corporate sponsorship""","""OpenAIRE""",2
"""common sense""","""OpenAIRE""",2
"""identity (philosophy)""","""OpenAIRE""",2
"""extinction (psychology)""","""OpenAIRE""",2
"""nondestructive testing""","""OpenAIRE""",2
"""contouring""","""OpenAIRE""",2
"""history, ancient""","""OpenAIRE""",2
"""[phys.astr]physics [physics]/astrophysics [astro-ph]""","""OpenAIRE""",2
"""regulatory focus theory""","""OpenAIRE""",2
"""regulatory focus theory""","""OpenAlex""",2
"""qualitative property""","""OpenAIRE""",2
"""theory""","""OpenAlex""",2
"""theology""","""OpenAIRE""",2
"""human memory""","""OpenAlex""",2
"""implicit memory""","""OpenAlex""",2
"""laparotomy""","""OpenAIRE""",2
"""diode""","""OpenAIRE""",2
"""laser diode""","""OpenAIRE""",2
"""diode""","""OpenAlex""",2
"""sleep (system call)""","""OpenAIRE""",2
"""nerve fibers, myelinated""","""OpenAIRE""",2
"""diffusion anisotropy""","""OpenAIRE""",2
"""fiber""","""OpenAIRE""",2
"""multiple case""","""OpenAIRE""",2
"""case studies""","""OpenAIRE""",2
"""arteries""","""OpenAIRE""",2
"""wavenumber""","""OpenAIRE""",2
"""holography""","""OpenAIRE""",2
"""concept lattice""","""OpenAIRE""",2
"""[info.info-ds]computer science [cs]/data structures and algorithms [cs.ds]""","""OpenAIRE""",2
"""information bottleneck method""","""OpenAIRE""",2
"""pulse-doppler radar""","""OpenAlex""",2
"""bayesian econometrics""","""OpenAIRE""",2
"""nonparametric regression""","""OpenAlex""",2
"""dirichlet process""","""OpenAlex""",2
"""chunking (psychology)""","""OpenAIRE""",2
"""nerve tissue proteins""","""OpenAIRE""",2
"""condition monitoring""","""OpenAlex""",2
"""condition monitoring""","""OpenAIRE""",2
"""soil pollutants""","""OpenAIRE""",2
"""biological products""","""OpenAIRE""",2
"""organic matter""","""OpenAlex""",2
"""natural organic matter""","""OpenAlex""",2
"""superconductivity (cond-mat.supr-con)""","""OpenAIRE""",2
"""condensed matter - superconductivity""","""OpenAIRE""",2
"""interval arithmetic""","""OpenAlex""",2
"""ddc:616.8""","""OpenAIRE""",2
"""personality psychology""","""OpenAlex""",2
"""psychology of reasoning""","""OpenAIRE""",2
"""risk pool""","""OpenAIRE""",2
"""fingerprint recognition""","""OpenAIRE""",2
"""security token""","""OpenAIRE""",2
"""robot kinematics""","""OpenAlex""",2
"""eye contact""","""OpenAlex""",2
"""gestures""","""OpenAIRE""",2
"""[stat.ap]statistics [stat]/applications [stat.ap]""","""OpenAIRE""",2
"""ethnocentrism""","""OpenAlex""",2
"""text retrieval""","""OpenAIRE""",2
"""moving horizon estimation""","""OpenAIRE""",2
"""detrended correspondence analysis""","""OpenAlex""",2
"""transfer entropy""","""OpenAIRE""",2
"""relay""","""OpenAIRE""",2
"""vehicular ad hoc network""","""OpenAIRE""",2
"""relay""","""OpenAlex""",2
"""pearson product-moment correlation coefficient""","""OpenAlex""",2
"""shortest path problem""","""OpenAlex""",2
"""medical emergency""","""OpenAIRE""",2
"""applied research""","""OpenAIRE""",2
"""remote patient monitoring""","""OpenAIRE""",2
"""information and communication technologies for development""","""OpenAIRE""",2
"""information security management""","""OpenAIRE""",2
"""security information and event management""","""OpenAIRE""",2
"""cloud computing security""","""OpenAIRE""",2
"""wearable technology""","""OpenAIRE""",2
"""risk perception""","""OpenAlex""",2
"""entity linking""","""OpenAlex""",2
"""conceptual graph""","""OpenAlex""",2
"""linguistic data consortium""","""OpenAIRE""",2
"""online discussion""","""OpenAlex""",2
"""engineering optimization""","""OpenAlex""",2
"""computational resource""","""OpenAIRE""",2
"""jel:g22""","""OpenAIRE""",2
"""jel:d82""","""OpenAIRE""",2
"""qa1-939""","""OpenAIRE""",2
"""salient object detection""","""OpenAIRE""",2
"""psyarxiv|social and behavioral sciences|quantitative methods""","""OpenAIRE""",2
"""psyarxiv|social and behavioral sciences""","""OpenAIRE""",2
"""cognitive artificial intelligence""","""OpenAIRE""",2
"""psyarxiv|social and behavioral sciences|quantitative methods|statistical methods""","""OpenAIRE""",2
"""bepress|social and behavioral sciences|psychology|quantitative psychology""","""OpenAIRE""",2
"""specialization (logic)""","""OpenAIRE""",2
"""moment (physics)""","""OpenAIRE""",2
"""spheres""","""OpenAlex""",2
"""fuzzy control""","""OpenAIRE""",2
"""location""","""OpenAIRE""",2
"""order statistic""","""OpenAIRE""",2
"""gabor filter""","""OpenAlex""",2
"""orthodontics""","""OpenAlex""",2
"""prosthesis""","""OpenAlex""",2
"""hiv-1""","""OpenAIRE""",2
"""antiretroviral therapy""","""OpenAlex""",2
"""viral load""","""OpenAlex""",2
"""cd4-positive t-lymphocytes""","""OpenAIRE""",2
"""antiviral agents""","""OpenAIRE""",2
"""latency (engineering)""","""OpenAIRE""",2
"""organizational identification""","""OpenAIRE""",2
"""organizational identification""","""OpenAlex""",2
"""epistasis, genetic""","""OpenAIRE""",2
"""bouncing ball dynamics""","""OpenAIRE""",2
"""equations of motion""","""OpenAlex""",2
"""simple harmonic motion""","""OpenAlex""",2
"""protons""","""OpenAIRE""",2
"""choline""","""OpenAIRE""",2
"""metabolite""","""OpenAIRE""",2
"""metabolite""","""OpenAlex""",2
"""uniqueness theorem for poisson's equation""","""OpenAIRE""",2
"""second law of thermodynamics""","""OpenAIRE""",2
"""internal energy""","""OpenAIRE""",2
"""second law of thermodynamics""","""OpenAlex""",2
"""public service""","""OpenAIRE""",2
"""quantum algorithm""","""OpenAIRE""",2
"""programming paradigm""","""OpenAIRE""",2
"""language primitive""","""OpenAIRE""",2
"""protein tertiary structure""","""OpenAIRE""",2
"""catalase""","""OpenAIRE""",2
"""hemoglobin""","""OpenAlex""",2
"""commission""","""OpenAlex""",2
"""energy conservation""","""OpenAIRE""",2
"""classification of discontinuities""","""OpenAIRE""",2
"""attentional control""","""OpenAIRE""",2
"""ray tracing (graphics)""","""OpenAIRE""",2
"""image formation""","""OpenAIRE""",2
"""confocal""","""OpenAlex""",2
"""4pi microscope""","""OpenAlex""",2
"""iterated function""","""OpenAIRE""",2
"""endomorphism""","""OpenAIRE""",2
"""self-assessment""","""OpenAIRE""",2
"""impression management""","""OpenAlex""",2
"""order (group theory)""","""OpenAIRE""",2
"""child sexual abuse""","""OpenAlex""",2
"""sexual abuse""","""OpenAlex""",2
"""affirmative and negative""","""OpenAIRE""",2
"""anxiety disorders""","""OpenAIRE""",2
"""procedural memory""","""OpenAIRE""",2
"""average treatment effect""","""OpenAlex""",2
"""persistence (psychology)""","""OpenAIRE""",2
